Time,cycle_puissance
11-29-2022_14.52.14,8209.944250922259
11-29-2022_14.56.58,8111.4955270864075
11-29-2022_14.56.58,8308.137923597133
11-29-2022_14.56.58,8209.944250922259
11-29-2022_14.56.58,8156.154063502077
11-29-2022_14.56.58,8057.641832951444
11-29-2022_14.56.58,8352.41337112041
11-29-2022_14.56.58,7904.5225342542
11-29-2022_14.56.58,8209.944250922259
11-29-2022_14.56.58,8406.076545111027
11-29-2022_14.56.59,8156.154063502077
11-29-2022_14.56.59,8111.4955270864075
11-29-2022_14.56.59,8254.411242891732
11-29-2022_14.56.59,8156.154063502077
11-29-2022_14.56.59,8003.353834831522
11-29-2022_14.56.59,8111.4955270864075
11-29-2022_14.56.59,8298.317429597608
11-29-2022_14.56.59,8057.641832951444
11-29-2022_14.56.59,8057.641832951444
11-29-2022_14.56.59,8352.41337112041
11-29-2022_14.57.00,8156.154063502077
11-29-2022_14.57.00,8003.353834831522
11-29-2022_14.57.00,8254.411242891732
11-29-2022_14.57.00,8003.353834831522
11-29-2022_14.57.00,8111.4955270864075
11-29-2022_14.57.00,8406.076545111027
11-29-2022_14.57.00,8057.641832951444
11-29-2022_14.57.00,7904.5225342542
11-29-2022_14.57.00,8200.251282503225
11-29-2022_14.57.01,8352.41337112041
11-29-2022_14.57.01,7904.5225342542
11-29-2022_14.57.01,8003.353834831522
11-29-2022_14.57.01,8101.930084247863
11-29-2022_14.57.01,8156.154063502077
11-29-2022_14.57.01,8308.137923597133
11-29-2022_14.57.01,8254.411242891732
11-29-2022_14.57.01,8057.641832951444
11-29-2022_14.57.01,8264.168230176474
11-29-2022_14.57.02,8352.41337112041
11-29-2022_14.57.02,7958.874551239831
11-29-2022_14.57.02,8101.930084247863
11-29-2022_14.57.02,8156.154063502077
11-29-2022_14.57.02,8101.930084247863
11-29-2022_14.57.02,8308.137923597133
11-29-2022_14.57.02,8308.137923597133
11-29-2022_14.57.02,7958.874551239831
11-29-2022_14.57.02,8101.930084247863
11-29-2022_14.57.03,8352.41337112041
11-29-2022_14.57.03,8308.137923597133
11-29-2022_14.57.03,8209.944250922259
11-29-2022_14.57.03,8362.29788398564
11-29-2022_14.57.03,8308.137923597133
11-29-2022_14.57.03,7904.5225342542
11-29-2022_14.57.03,8156.154063502077
11-29-2022_14.57.03,8352.41337112041
11-29-2022_14.57.03,8057.641832951444
11-29-2022_14.57.03,8111.4955270864075
11-29-2022_14.57.04,8308.137923597133
11-29-2022_14.57.04,8209.944250922259
11-29-2022_14.57.04,8012.791752089578
11-29-2022_14.57.04,8156.154063502077
11-29-2022_14.57.04,8352.41337112041
11-29-2022_14.57.04,8057.641832951444
11-29-2022_14.57.04,8209.944250922259
11-29-2022_14.57.04,8352.41337112041
11-29-2022_14.57.04,8209.944250922259
11-29-2022_14.57.04,8012.791752089578
11-29-2022_14.57.05,8254.411242891732
11-29-2022_14.57.05,8406.076545111027
11-29-2022_14.57.05,8003.353834831522
11-29-2022_14.57.05,8352.41337112041
11-29-2022_14.57.05,8156.154063502077
11-29-2022_14.57.05,8111.4955270864075
11-29-2022_14.57.05,8254.411242891732
11-29-2022_14.57.05,8352.41337112041
11-29-2022_14.57.05,8101.930084247863
11-29-2022_14.57.06,8264.168230176474
11-29-2022_14.57.06,8557.792038121035
11-29-2022_14.57.06,8057.641832951444
11-29-2022_14.57.06,8057.641832951444
11-29-2022_14.57.06,8362.29788398564
11-29-2022_14.57.06,8209.944250922259
11-29-2022_14.57.06,8111.4955270864075
11-29-2022_14.57.06,8416.024564691043
11-29-2022_14.57.06,8460.172486633826
11-29-2022_14.57.06,8057.641832951444
11-29-2022_14.57.07,8209.944250922259
11-29-2022_14.57.07,8308.137923597133
11-29-2022_14.57.07,8308.137923597133
11-29-2022_14.57.07,8308.137923597133
11-29-2022_14.57.07,8503.760115463943
11-29-2022_14.57.07,8111.4955270864075
11-29-2022_14.57.07,8111.4955270864075
11-29-2022_14.57.07,8362.29788398564
11-29-2022_14.57.07,8012.791752089578
11-29-2022_14.57.08,8156.154063502077
11-29-2022_14.57.08,8416.024564691043
11-29-2022_14.57.08,8308.137923597133
11-29-2022_14.57.08,8111.4955270864075
11-29-2022_14.57.08,8165.7835252063305
11-29-2022_14.57.08,8460.172486633826
11-29-2022_14.57.08,8012.791752089578
11-29-2022_14.57.08,8156.154063502077
11-29-2022_14.57.08,8460.172486633826
11-29-2022_14.57.08,8209.944250922259
11-29-2022_14.57.09,8156.154063502077
11-29-2022_14.57.09,8308.137923597133
11-29-2022_14.57.09,8352.41337112041
11-29-2022_14.57.09,8209.944250922259
11-29-2022_14.57.09,8352.41337112041
11-29-2022_14.57.09,8209.944250922259
11-29-2022_14.57.09,8111.4955270864075
11-29-2022_14.57.09,8406.076545111027
11-29-2022_14.57.10,7958.874551239831
